date,dreadful,isPartial
2011-01-02,17,False
2011-01-09,17,False
2011-01-16,12,False
2011-01-23,15,False
2011-01-30,24,False
2011-02-06,17,False
2011-02-13,22,False
2011-02-20,27,False
2011-02-27,21,False
2011-03-06,22,False
2011-03-13,14,False
2011-03-20,17,False
2011-03-27,20,False
2011-04-03,16,False
2011-04-10,21,False
2011-04-17,14,False
2011-04-24,16,False
2011-05-01,25,False
2011-05-08,15,False
2011-05-15,15,False
2011-05-22,20,False
2011-05-29,11,False
2011-06-05,15,False
2011-06-12,13,False
2011-06-19,16,False
2011-06-26,12,False
2011-07-03,13,False
2011-07-10,12,False
2011-07-17,12,False
2011-07-24,12,False
2011-07-31,12,False
2011-08-07,20,False
2011-08-14,22,False
2011-08-21,16,False
2011-08-28,17,False
2011-09-04,21,False
2011-09-11,12,False
2011-09-18,11,False
2011-09-25,21,False
2011-10-02,20,False
2011-10-09,27,False
2011-10-16,21,False
2011-10-23,32,False
2011-10-30,37,False
2011-11-06,50,False
2011-11-13,55,False
2011-11-20,74,False
2011-11-27,100,False
2011-12-04,96,False
2011-12-11,73,False
2011-12-18,71,False
2011-12-25,35,False
