geoName,drinking
Alabama,78
Alaska,90
Arizona,77
Arkansas,77
California,76
Colorado,80
Connecticut,80
Delaware,82
District of Columbia,88
Florida,75
Georgia,80
Hawaii,80
Idaho,75
Illinois,78
Indiana,82
Iowa,88
Kansas,77
Kentucky,82
Louisiana,78
Maine,91
Maryland,80
Massachusetts,89
Michigan,89
Minnesota,87
Mississippi,75
Missouri,82
Montana,98
Nebraska,87
Nevada,77
New Hampshire,87
New Jersey,84
New Mexico,76
New York,80
North Carolina,80
North Dakota,100
Ohio,82
Oklahoma,77
Oregon,75
Pennsylvania,91
Rhode Island,92
South Carolina,80
South Dakota,97
Tennessee,77
Texas,74
Utah,66
Vermont,95
Virginia,80
Washington,79
West Virginia,89
Wisconsin,96
Wyoming,82
