geoName,endure
Alabama,100
Alaska,59
Arizona,75
Arkansas,85
California,80
Colorado,72
Connecticut,71
Delaware,57
District of Columbia,60
Florida,67
Georgia,73
Hawaii,81
Idaho,83
Illinois,78
Indiana,69
Iowa,77
Kansas,69
Kentucky,60
Louisiana,89
Maine,44
Maryland,80
Massachusetts,57
Michigan,60
Minnesota,53
Mississippi,89
Missouri,78
Montana,82
Nebraska,55
Nevada,77
New Hampshire,50
New Jersey,84
New Mexico,58
New York,62
North Carolina,88
North Dakota,57
Ohio,66
Oklahoma,46
Oregon,51
Pennsylvania,59
Rhode Island,59
South Carolina,80
South Dakota,49
Tennessee,61
Texas,75
Utah,98
Vermont,75
Virginia,77
Washington,52
West Virginia,58
Wisconsin,69
Wyoming,37
