date,endure,isPartial
2016-01-03,75,False
2016-01-10,74,False
2016-01-17,87,False
2016-01-24,86,False
2016-01-31,86,False
2016-02-07,78,False
2016-02-14,88,False
2016-02-21,84,False
2016-02-28,79,False
2016-03-06,86,False
2016-03-13,77,False
2016-03-20,76,False
2016-03-27,72,False
2016-04-03,98,False
2016-04-10,81,False
2016-04-17,98,False
2016-04-24,84,False
2016-05-01,100,False
2016-05-08,85,False
2016-05-15,79,False
2016-05-22,87,False
2016-05-29,65,False
2016-06-05,75,False
2016-06-12,70,False
2016-06-19,64,False
2016-06-26,58,False
2016-07-03,68,False
2016-07-10,67,False
2016-07-17,61,False
2016-07-24,67,False
2016-07-31,69,False
2016-08-07,60,False
2016-08-14,61,False
2016-08-21,68,False
2016-08-28,82,False
2016-09-04,80,False
2016-09-11,91,False
2016-09-18,85,False
2016-09-25,90,False
2016-10-02,88,False
2016-10-09,74,False
2016-10-16,71,False
2016-10-23,74,False
2016-10-30,79,False
2016-11-06,100,False
2016-11-13,83,False
2016-11-20,64,False
2016-11-27,95,False
2016-12-04,99,False
2016-12-11,85,False
2016-12-18,73,False
2016-12-25,56,False
