geoName,esteem
Alabama,71
Alaska,100
Arizona,78
Arkansas,81
California,85
Colorado,66
Connecticut,78
Delaware,90
District of Columbia,64
Florida,74
Georgia,74
Hawaii,88
Idaho,96
Illinois,79
Indiana,94
Iowa,81
Kansas,61
Kentucky,58
Louisiana,69
Maine,80
Maryland,78
Massachusetts,74
Michigan,79
Minnesota,78
Mississippi,92
Missouri,85
Montana,61
Nebraska,80
Nevada,81
New Hampshire,77
New Jersey,85
New Mexico,83
New York,80
North Carolina,78
North Dakota,64
Ohio,72
Oklahoma,72
Oregon,90
Pennsylvania,81
Rhode Island,82
South Carolina,77
South Dakota,76
Tennessee,71
Texas,70
Utah,96
Vermont,78
Virginia,83
Washington,74
West Virginia,85
Wisconsin,77
Wyoming,70
