date,esteem,isPartial
2011-01-02,53,False
2011-01-09,54,False
2011-01-16,64,False
2011-01-23,59,False
2011-01-30,58,False
2011-02-06,64,False
2011-02-13,63,False
2011-02-20,63,False
2011-02-27,68,False
2011-03-06,57,False
2011-03-13,54,False
2011-03-20,63,False
2011-03-27,69,False
2011-04-03,61,False
2011-04-10,64,False
2011-04-17,58,False
2011-04-24,65,False
2011-05-01,56,False
2011-05-08,60,False
2011-05-15,59,False
2011-05-22,59,False
2011-05-29,54,False
2011-06-05,49,False
2011-06-12,50,False
2011-06-19,47,False
2011-06-26,54,False
2011-07-03,47,False
2011-07-10,54,False
2011-07-17,56,False
2011-07-24,53,False
2011-07-31,51,False
2011-08-07,46,False
2011-08-14,53,False
2011-08-21,50,False
2011-08-28,50,False
2011-09-04,56,False
2011-09-11,57,False
2011-09-18,64,False
2011-09-25,79,False
2011-10-02,100,False
2011-10-09,95,False
2011-10-16,91,False
2011-10-23,89,False
2011-10-30,77,False
2011-11-06,79,False
2011-11-13,88,False
2011-11-20,76,False
2011-11-27,84,False
2011-12-04,84,False
2011-12-11,79,False
2011-12-18,72,False
2011-12-25,73,False
