geoName,evaluation
Alabama,62
Alaska,99
Arizona,66
Arkansas,65
California,61
Colorado,74
Connecticut,73
Delaware,86
District of Columbia,90
Florida,59
Georgia,67
Hawaii,71
Idaho,71
Illinois,60
Indiana,64
Iowa,70
Kansas,65
Kentucky,66
Louisiana,62
Maine,70
Maryland,100
Massachusetts,80
Michigan,65
Minnesota,68
Mississippi,62
Missouri,59
Montana,54
Nebraska,76
Nevada,46
New Hampshire,68
New Jersey,69
New Mexico,90
New York,73
North Carolina,68
North Dakota,83
Ohio,66
Oklahoma,68
Oregon,76
Pennsylvania,69
Rhode Island,85
South Carolina,62
South Dakota,75
Tennessee,65
Texas,58
Utah,59
Vermont,81
Virginia,92
Washington,69
West Virginia,68
Wisconsin,60
Wyoming,57
