geoName,excluded
Alabama,66
Alaska,98
Arizona,53
Arkansas,45
California,55
Colorado,51
Connecticut,68
Delaware,55
District of Columbia,84
Florida,44
Georgia,74
Hawaii,36
Idaho,70
Illinois,44
Indiana,73
Iowa,43
Kansas,67
Kentucky,68
Louisiana,70
Maine,100
Maryland,66
Massachusetts,57
Michigan,55
Minnesota,55
Mississippi,88
Missouri,59
Montana,43
Nebraska,23
Nevada,62
New Hampshire,43
New Jersey,57
New Mexico,91
New York,47
North Carolina,49
North Dakota,70
Ohio,44
Oklahoma,92
Oregon,88
Pennsylvania,55
Rhode Island,64
South Carolina,59
South Dakota,35
Tennessee,52
Texas,46
Utah,55
Vermont,0
Virginia,69
Washington,59
West Virginia,47
Wisconsin,49
Wyoming,29
