geoName,exhausted
Alabama,98
Alaska,59
Arizona,76
Arkansas,100
California,83
Colorado,76
Connecticut,67
Delaware,71
District of Columbia,51
Florida,71
Georgia,62
Hawaii,74
Idaho,69
Illinois,69
Indiana,74
Iowa,68
Kansas,50
Kentucky,77
Louisiana,65
Maine,65
Maryland,71
Massachusetts,80
Michigan,80
Minnesota,71
Mississippi,61
Missouri,68
Montana,78
Nebraska,65
Nevada,57
New Hampshire,84
New Jersey,81
New Mexico,57
New York,82
North Carolina,82
North Dakota,78
Ohio,71
Oklahoma,78
Oregon,54
Pennsylvania,87
Rhode Island,53
South Carolina,82
South Dakota,27
Tennessee,75
Texas,71
Utah,76
Vermont,90
Virginia,86
Washington,69
West Virginia,72
Wisconsin,53
Wyoming,83
