geoName,failed
Alabama,72
Alaska,72
Arizona,78
Arkansas,73
California,79
Colorado,84
Connecticut,78
Delaware,85
District of Columbia,59
Florida,69
Georgia,65
Hawaii,60
Idaho,87
Illinois,69
Indiana,82
Iowa,75
Kansas,74
Kentucky,62
Louisiana,59
Maine,75
Maryland,100
Massachusetts,86
Michigan,69
Minnesota,82
Mississippi,58
Missouri,75
Montana,71
Nebraska,77
Nevada,77
New Hampshire,88
New Jersey,82
New Mexico,83
New York,73
North Carolina,70
North Dakota,72
Ohio,78
Oklahoma,65
Oregon,61
Pennsylvania,78
Rhode Island,73
South Carolina,59
South Dakota,71
Tennessee,69
Texas,69
Utah,83
Vermont,79
Virginia,60
Washington,90
West Virginia,71
Wisconsin,73
Wyoming,71
