geoName,fast food
Alabama,76
Alaska,57
Arizona,100
Arkansas,63
California,99
Colorado,81
Connecticut,45
Delaware,59
District of Columbia,86
Florida,71
Georgia,79
Hawaii,57
Idaho,69
Illinois,78
Indiana,73
Iowa,73
Kansas,75
Kentucky,84
Louisiana,70
Maine,41
Maryland,60
Massachusetts,54
Michigan,71
Minnesota,75
Mississippi,88
Missouri,76
Montana,58
Nebraska,89
Nevada,97
New Hampshire,31
New Jersey,50
New Mexico,62
New York,56
North Carolina,76
North Dakota,48
Ohio,73
Oklahoma,83
Oregon,59
Pennsylvania,60
Rhode Island,61
South Carolina,88
South Dakota,57
Tennessee,73
Texas,87
Utah,62
Vermont,29
Virginia,66
Washington,69
West Virginia,64
Wisconsin,64
Wyoming,63
