geoName,fat
Alabama,91
Alaska,96
Arizona,89
Arkansas,90
California,83
Colorado,83
Connecticut,82
Delaware,86
District of Columbia,91
Florida,86
Georgia,96
Hawaii,83
Idaho,95
Illinois,86
Indiana,84
Iowa,83
Kansas,74
Kentucky,94
Louisiana,95
Maine,87
Maryland,83
Massachusetts,85
Michigan,89
Minnesota,77
Mississippi,99
Missouri,88
Montana,79
Nebraska,92
Nevada,90
New Hampshire,81
New Jersey,84
New Mexico,86
New York,88
North Carolina,89
North Dakota,80
Ohio,90
Oklahoma,91
Oregon,61
Pennsylvania,89
Rhode Island,86
South Carolina,100
South Dakota,78
Tennessee,95
Texas,87
Utah,86
Vermont,82
Virginia,73
Washington,78
West Virginia,93
Wisconsin,84
Wyoming,88
