geoName,fatalistic
Alabama,76
Alaska,0
Arizona,77
Arkansas,0
California,56
Colorado,62
Connecticut,72
Delaware,76
District of Columbia,100
Florida,50
Georgia,73
Hawaii,0
Idaho,0
Illinois,47
Indiana,49
Iowa,66
Kansas,93
Kentucky,89
Louisiana,38
Maine,0
Maryland,53
Massachusetts,50
Michigan,73
Minnesota,24
Mississippi,38
Missouri,43
Montana,0
Nebraska,0
Nevada,73
New Hampshire,0
New Jersey,53
New Mexico,0
New York,51
North Carolina,52
North Dakota,97
Ohio,60
Oklahoma,66
Oregon,74
Pennsylvania,54
Rhode Island,0
South Carolina,51
South Dakota,0
Tennessee,93
Texas,51
Utah,0
Vermont,0
Virginia,63
Washington,58
West Virginia,0
Wisconsin,78
Wyoming,0
