geoName,fatigue
Alabama,84
Alaska,97
Arizona,81
Arkansas,81
California,70
Colorado,79
Connecticut,81
Delaware,87
District of Columbia,72
Florida,68
Georgia,74
Hawaii,77
Idaho,86
Illinois,75
Indiana,83
Iowa,78
Kansas,79
Kentucky,81
Louisiana,79
Maine,89
Maryland,85
Massachusetts,80
Michigan,85
Minnesota,83
Mississippi,92
Missouri,86
Montana,91
Nebraska,79
Nevada,76
New Hampshire,87
New Jersey,69
New Mexico,92
New York,72
North Carolina,87
North Dakota,94
Ohio,82
Oklahoma,87
Oregon,53
Pennsylvania,88
Rhode Island,87
South Carolina,81
South Dakota,96
Tennessee,89
Texas,73
Utah,87
Vermont,86
Virginia,62
Washington,85
West Virginia,98
Wisconsin,77
Wyoming,100
