geoName,fatigued
Alabama,65
Alaska,0
Arizona,78
Arkansas,80
California,70
Colorado,55
Connecticut,72
Delaware,69
District of Columbia,75
Florida,66
Georgia,63
Hawaii,71
Idaho,82
Illinois,67
Indiana,51
Iowa,61
Kansas,75
Kentucky,100
Louisiana,91
Maine,57
Maryland,58
Massachusetts,65
Michigan,53
Minnesota,75
Mississippi,73
Missouri,82
Montana,23
Nebraska,75
Nevada,88
New Hampshire,26
New Jersey,58
New Mexico,38
New York,58
North Carolina,68
North Dakota,0
Ohio,61
Oklahoma,75
Oregon,45
Pennsylvania,68
Rhode Island,62
South Carolina,83
South Dakota,56
Tennessee,81
Texas,66
Utah,44
Vermont,0
Virginia,55
Washington,83
West Virginia,89
Wisconsin,59
Wyoming,0
