geoName,fear
Alabama,42
Alaska,45
Arizona,50
Arkansas,44
California,43
Colorado,39
Connecticut,44
Delaware,44
District of Columbia,34
Florida,40
Georgia,44
Hawaii,43
Idaho,44
Illinois,40
Indiana,49
Iowa,42
Kansas,42
Kentucky,50
Louisiana,42
Maine,41
Maryland,43
Massachusetts,42
Michigan,41
Minnesota,37
Mississippi,41
Missouri,42
Montana,46
Nebraska,46
Nevada,46
New Hampshire,45
New Jersey,46
New Mexico,42
New York,40
North Carolina,100
North Dakota,38
Ohio,47
Oklahoma,46
Oregon,43
Pennsylvania,46
Rhode Island,41
South Carolina,53
South Dakota,53
Tennessee,46
Texas,38
Utah,51
Vermont,40
Virginia,46
Washington,42
West Virginia,48
Wisconsin,43
Wyoming,42
