geoName,fight
Alabama,73
Alaska,65
Arizona,79
Arkansas,73
California,80
Colorado,65
Connecticut,62
Delaware,72
District of Columbia,71
Florida,73
Georgia,77
Hawaii,90
Idaho,67
Illinois,73
Indiana,65
Iowa,62
Kansas,72
Kentucky,70
Louisiana,81
Maine,57
Maryland,74
Massachusetts,63
Michigan,73
Minnesota,59
Mississippi,81
Missouri,69
Montana,57
Nebraska,70
Nevada,100
New Hampshire,53
New Jersey,74
New Mexico,81
New York,75
North Carolina,72
North Dakota,59
Ohio,71
Oklahoma,77
Oregon,39
Pennsylvania,75
Rhode Island,72
South Carolina,74
South Dakota,53
Tennessee,69
Texas,76
Utah,67
Vermont,53
Virginia,63
Washington,64
West Virginia,67
Wisconsin,59
Wyoming,62
