date,finality,isPartial
2013-01-06,16,False
2013-01-13,23,False
2013-01-20,19,False
2013-01-27,8,False
2013-02-03,46,False
2013-02-10,4,False
2013-02-17,8,False
2013-02-24,26,False
2013-03-03,26,False
2013-03-10,38,False
2013-03-17,19,False
2013-03-24,20,False
2013-03-31,42,False
2013-04-07,23,False
2013-04-14,42,False
2013-04-21,66,False
2013-04-28,31,False
2013-05-05,100,False
2013-05-12,80,False
2013-05-19,55,False
2013-05-26,21,False
2013-06-02,20,False
2013-06-09,32,False
2013-06-16,40,False
2013-06-23,24,False
2013-06-30,42,False
2013-07-07,20,False
2013-07-14,31,False
2013-07-21,23,False
2013-07-28,43,False
2013-08-04,20,False
2013-08-11,8,False
2013-08-18,27,False
2013-08-25,15,False
2013-09-01,19,False
2013-09-08,26,False
2013-09-15,37,False
2013-09-22,19,False
2013-09-29,52,False
2013-10-06,34,False
2013-10-13,23,False
2013-10-20,38,False
2013-10-27,41,False
2013-11-03,30,False
2013-11-10,41,False
2013-11-17,18,False
2013-11-24,16,False
2013-12-01,38,False
2013-12-08,29,False
2013-12-15,34,False
2013-12-22,13,False
2013-12-29,16,False
