geoName,forlorn
Alabama,53
Alaska,39
Arizona,64
Arkansas,71
California,78
Colorado,70
Connecticut,71
Delaware,76
District of Columbia,41
Florida,61
Georgia,81
Hawaii,80
Idaho,53
Illinois,61
Indiana,75
Iowa,71
Kansas,56
Kentucky,70
Louisiana,56
Maine,54
Maryland,60
Massachusetts,70
Michigan,59
Minnesota,87
Mississippi,88
Missouri,60
Montana,41
Nebraska,100
Nevada,76
New Hampshire,68
New Jersey,77
New Mexico,57
New York,60
North Carolina,80
North Dakota,25
Ohio,71
Oklahoma,69
Oregon,83
Pennsylvania,71
Rhode Island,73
South Carolina,52
South Dakota,62
Tennessee,81
Texas,58
Utah,85
Vermont,81
Virginia,72
Washington,70
West Virginia,74
Wisconsin,74
Wyoming,0
