geoName,fragile
Alabama,57
Alaska,66
Arizona,60
Arkansas,61
California,59
Colorado,53
Connecticut,68
Delaware,48
District of Columbia,78
Florida,49
Georgia,64
Hawaii,69
Idaho,53
Illinois,60
Indiana,61
Iowa,59
Kansas,61
Kentucky,58
Louisiana,53
Maine,61
Maryland,62
Massachusetts,72
Michigan,57
Minnesota,59
Mississippi,52
Missouri,61
Montana,67
Nebraska,58
Nevada,58
New Hampshire,77
New Jersey,70
New Mexico,100
New York,61
North Carolina,61
North Dakota,55
Ohio,69
Oklahoma,47
Oregon,48
Pennsylvania,73
Rhode Island,72
South Carolina,65
South Dakota,66
Tennessee,52
Texas,56
Utah,63
Vermont,52
Virginia,62
Washington,60
West Virginia,48
Wisconsin,61
Wyoming,53
