date,fragile,isPartial
2014-01-05,56,False
2014-01-12,52,False
2014-01-19,49,False
2014-01-26,50,False
2014-02-02,52,False
2014-02-09,70,False
2014-02-16,69,False
2014-02-23,74,False
2014-03-02,78,False
2014-03-09,69,False
2014-03-16,76,False
2014-03-23,82,False
2014-03-30,79,False
2014-04-06,86,False
2014-04-13,92,False
2014-04-20,87,False
2014-04-27,100,False
2014-05-04,100,False
2014-05-11,92,False
2014-05-18,83,False
2014-05-25,79,False
2014-06-01,76,False
2014-06-08,74,False
2014-06-15,67,False
2014-06-22,65,False
2014-06-29,57,False
2014-07-06,64,False
2014-07-13,60,False
2014-07-20,56,False
2014-07-27,49,False
2014-08-03,62,False
2014-08-10,51,False
2014-08-17,56,False
2014-08-24,63,False
2014-08-31,45,False
2014-09-07,57,False
2014-09-14,59,False
2014-09-21,64,False
2014-09-28,64,False
2014-10-05,52,False
2014-10-12,55,False
2014-10-19,54,False
2014-10-26,60,False
2014-11-02,56,False
2014-11-09,58,False
2014-11-16,53,False
2014-11-23,53,False
2014-11-30,59,False
2014-12-07,58,False
2014-12-14,56,False
2014-12-21,58,False
2014-12-28,41,False
