date,friends,isPartial
2014-01-05,90,False
2014-01-12,80,False
2014-01-19,82,False
2014-01-26,82,False
2014-02-02,81,False
2014-02-09,84,False
2014-02-16,81,False
2014-02-23,79,False
2014-03-02,76,False
2014-03-09,77,False
2014-03-16,74,False
2014-03-23,79,False
2014-03-30,85,False
2014-04-06,81,False
2014-04-13,80,False
2014-04-20,79,False
2014-04-27,82,False
2014-05-04,79,False
2014-05-11,81,False
2014-05-18,81,False
2014-05-25,89,False
2014-06-01,85,False
2014-06-08,81,False
2014-06-15,78,False
2014-06-22,77,False
2014-06-29,81,False
2014-07-06,85,False
2014-07-13,84,False
2014-07-20,87,False
2014-07-27,86,False
2014-08-03,86,False
2014-08-10,83,False
2014-08-17,81,False
2014-08-24,84,False
2014-08-31,78,False
2014-09-07,79,False
2014-09-14,77,False
2014-09-21,78,False
2014-09-28,76,False
2014-10-05,76,False
2014-10-12,82,False
2014-10-19,77,False
2014-10-26,79,False
2014-11-02,82,False
2014-11-09,83,False
2014-11-16,82,False
2014-11-23,89,False
2014-11-30,87,False
2014-12-07,86,False
2014-12-14,85,False
2014-12-21,95,False
2014-12-28,100,False
