geoName,gain
Alabama,92
Alaska,68
Arizona,82
Arkansas,91
California,82
Colorado,81
Connecticut,85
Delaware,91
District of Columbia,82
Florida,88
Georgia,90
Hawaii,87
Idaho,87
Illinois,84
Indiana,86
Iowa,84
Kansas,82
Kentucky,91
Louisiana,100
Maine,79
Maryland,93
Massachusetts,89
Michigan,85
Minnesota,77
Mississippi,96
Missouri,86
Montana,72
Nebraska,82
Nevada,79
New Hampshire,84
New Jersey,92
New Mexico,85
New York,86
North Carolina,91
North Dakota,80
Ohio,86
Oklahoma,86
Oregon,74
Pennsylvania,93
Rhode Island,89
South Carolina,93
South Dakota,77
Tennessee,92
Texas,86
Utah,84
Vermont,76
Virginia,90
Washington,79
West Virginia,97
Wisconsin,79
Wyoming,79
