geoName,gloomy
Alabama,42
Alaska,98
Arizona,100
Arkansas,44
California,83
Colorado,56
Connecticut,68
Delaware,34
District of Columbia,39
Florida,69
Georgia,63
Hawaii,96
Idaho,87
Illinois,60
Indiana,75
Iowa,69
Kansas,57
Kentucky,63
Louisiana,71
Maine,90
Maryland,73
Massachusetts,50
Michigan,61
Minnesota,72
Mississippi,84
Missouri,61
Montana,56
Nebraska,46
Nevada,69
New Hampshire,25
New Jersey,66
New Mexico,92
New York,69
North Carolina,71
North Dakota,92
Ohio,53
Oklahoma,73
Oregon,59
Pennsylvania,55
Rhode Island,75
South Carolina,73
South Dakota,54
Tennessee,52
Texas,69
Utah,65
Vermont,77
Virginia,64
Washington,75
West Virginia,36
Wisconsin,57
Wyoming,0
