date,gloomy,isPartial
2016-01-03,69,False
2016-01-10,74,False
2016-01-17,54,False
2016-01-24,61,False
2016-01-31,70,False
2016-02-07,66,False
2016-02-14,56,False
2016-02-21,67,False
2016-02-28,86,False
2016-03-06,84,False
2016-03-13,63,False
2016-03-20,72,False
2016-03-27,70,False
2016-04-03,75,False
2016-04-10,60,False
2016-04-17,64,False
2016-04-24,82,False
2016-05-01,86,False
2016-05-08,58,False
2016-05-15,76,False
2016-05-22,60,False
2016-05-29,67,False
2016-06-05,58,False
2016-06-12,55,False
2016-06-19,44,False
2016-06-26,39,False
2016-07-03,35,False
2016-07-10,43,False
2016-07-17,52,False
2016-07-24,53,False
2016-07-31,41,False
2016-08-07,67,False
2016-08-14,54,False
2016-08-21,56,False
2016-08-28,63,False
2016-09-04,65,False
2016-09-11,79,False
2016-09-18,69,False
2016-09-25,100,False
2016-10-02,81,False
2016-10-09,77,False
2016-10-16,65,False
2016-10-23,79,False
2016-10-30,73,False
2016-11-06,76,False
2016-11-13,65,False
2016-11-20,61,False
2016-11-27,74,False
2016-12-04,75,False
2016-12-11,74,False
2016-12-18,61,False
2016-12-25,45,False
