geoName,grief
Alabama,76
Alaska,99
Arizona,85
Arkansas,77
California,77
Colorado,96
Connecticut,79
Delaware,74
District of Columbia,85
Florida,64
Georgia,74
Hawaii,81
Idaho,88
Illinois,76
Indiana,88
Iowa,79
Kansas,73
Kentucky,86
Louisiana,81
Maine,90
Maryland,74
Massachusetts,85
Michigan,82
Minnesota,88
Mississippi,81
Missouri,82
Montana,100
Nebraska,82
Nevada,66
New Hampshire,96
New Jersey,74
New Mexico,99
New York,72
North Carolina,71
North Dakota,70
Ohio,82
Oklahoma,83
Oregon,92
Pennsylvania,85
Rhode Island,86
South Carolina,70
South Dakota,73
Tennessee,79
Texas,68
Utah,90
Vermont,90
Virginia,77
Washington,89
West Virginia,81
Wisconsin,84
Wyoming,90
