geoName,grieving
Alabama,22
Alaska,34
Arizona,37
Arkansas,25
California,28
Colorado,35
Connecticut,39
Delaware,38
District of Columbia,36
Florida,34
Georgia,28
Hawaii,24
Idaho,48
Illinois,30
Indiana,48
Iowa,31
Kansas,37
Kentucky,32
Louisiana,38
Maine,100
Maryland,33
Massachusetts,35
Michigan,37
Minnesota,41
Mississippi,41
Missouri,28
Montana,22
Nebraska,37
Nevada,28
New Hampshire,52
New Jersey,34
New Mexico,35
New York,32
North Carolina,31
North Dakota,53
Ohio,39
Oklahoma,29
Oregon,34
Pennsylvania,39
Rhode Island,22
South Carolina,40
South Dakota,59
Tennessee,33
Texas,30
Utah,38
Vermont,33
Virginia,32
Washington,36
West Virginia,46
Wisconsin,39
Wyoming,44
