date,grouchy,isPartial
2011-01-02,30,False
2011-01-09,29,False
2011-01-16,49,False
2011-01-23,34,False
2011-01-30,34,False
2011-02-06,33,False
2011-02-13,49,False
2011-02-20,62,False
2011-02-27,42,False
2011-03-06,54,False
2011-03-13,56,False
2011-03-20,62,False
2011-03-27,47,False
2011-04-03,69,False
2011-04-10,90,False
2011-04-17,88,False
2011-04-24,71,False
2011-05-01,65,False
2011-05-08,75,False
2011-05-15,87,False
2011-05-22,45,False
2011-05-29,60,False
2011-06-05,74,False
2011-06-12,65,False
2011-06-19,73,False
2011-06-26,47,False
2011-07-03,71,False
2011-07-10,80,False
2011-07-17,100,False
2011-07-24,69,False
2011-07-31,64,False
2011-08-07,98,False
2011-08-14,85,False
2011-08-21,96,False
2011-08-28,78,False
2011-09-04,82,False
2011-09-11,73,False
2011-09-18,63,False
2011-09-25,48,False
2011-10-02,95,False
2011-10-09,79,False
2011-10-16,67,False
2011-10-23,98,False
2011-10-30,77,False
2011-11-06,62,False
2011-11-13,86,False
2011-11-20,70,False
2011-11-27,97,False
2011-12-04,77,False
2011-12-11,69,False
2011-12-18,79,False
2011-12-25,72,False
