geoName,heal
Alabama,39
Alaska,39
Arizona,40
Arkansas,39
California,42
Colorado,40
Connecticut,38
Delaware,44
District of Columbia,39
Florida,39
Georgia,40
Hawaii,52
Idaho,38
Illinois,39
Indiana,38
Iowa,35
Kansas,41
Kentucky,42
Louisiana,43
Maine,100
Maryland,40
Massachusetts,40
Michigan,41
Minnesota,36
Mississippi,41
Missouri,41
Montana,37
Nebraska,34
Nevada,42
New Hampshire,43
New Jersey,43
New Mexico,41
New York,39
North Carolina,43
North Dakota,40
Ohio,38
Oklahoma,42
Oregon,39
Pennsylvania,40
Rhode Island,45
South Carolina,39
South Dakota,38
Tennessee,39
Texas,40
Utah,42
Vermont,44
Virginia,39
Washington,40
West Virginia,42
Wisconsin,39
Wyoming,31
