geoName,health
Alabama,56
Alaska,65
Arizona,66
Arkansas,71
California,50
Colorado,67
Connecticut,68
Delaware,58
District of Columbia,83
Florida,58
Georgia,54
Hawaii,55
Idaho,85
Illinois,57
Indiana,75
Iowa,68
Kansas,62
Kentucky,65
Louisiana,53
Maine,67
Maryland,68
Massachusetts,75
Michigan,71
Minnesota,78
Mississippi,57
Missouri,63
Montana,79
Nebraska,74
Nevada,61
New Hampshire,68
New Jersey,55
New Mexico,67
New York,59
North Carolina,69
North Dakota,100
Ohio,67
Oklahoma,57
Oregon,47
Pennsylvania,67
Rhode Island,68
South Carolina,66
South Dakota,87
Tennessee,68
Texas,52
Utah,68
Vermont,90
Virginia,64
Washington,75
West Virginia,64
Wisconsin,81
Wyoming,70
