geoName,help
Alabama,84
Alaska,82
Arizona,73
Arkansas,87
California,66
Colorado,74
Connecticut,68
Delaware,78
District of Columbia,66
Florida,72
Georgia,78
Hawaii,69
Idaho,86
Illinois,70
Indiana,87
Iowa,81
Kansas,80
Kentucky,90
Louisiana,81
Maine,79
Maryland,74
Massachusetts,66
Michigan,74
Minnesota,71
Mississippi,100
Missouri,82
Montana,87
Nebraska,76
Nevada,77
New Hampshire,75
New Jersey,72
New Mexico,80
New York,68
North Carolina,82
North Dakota,74
Ohio,78
Oklahoma,81
Oregon,77
Pennsylvania,74
Rhode Island,74
South Carolina,84
South Dakota,81
Tennessee,85
Texas,72
Utah,88
Vermont,68
Virginia,77
Washington,71
West Virginia,91
Wisconsin,76
Wyoming,86
