geoName,hopelessness
Alabama,0
Alaska,0
Arizona,61
Arkansas,86
California,43
Colorado,27
Connecticut,45
Delaware,0
District of Columbia,36
Florida,42
Georgia,28
Hawaii,0
Idaho,0
Illinois,36
Indiana,100
Iowa,34
Kansas,76
Kentucky,32
Louisiana,48
Maine,0
Maryland,41
Massachusetts,51
Michigan,36
Minnesota,42
Mississippi,49
Missouri,51
Montana,0
Nebraska,15
Nevada,11
New Hampshire,0
New Jersey,56
New Mexico,79
New York,46
North Carolina,50
North Dakota,0
Ohio,35
Oklahoma,54
Oregon,92
Pennsylvania,57
Rhode Island,0
South Carolina,16
South Dakota,0
Tennessee,46
Texas,39
Utah,50
Vermont,0
Virginia,52
Washington,63
West Virginia,0
Wisconsin,53
Wyoming,0
