geoName,hurt
Alabama,83
Alaska,65
Arizona,70
Arkansas,82
California,61
Colorado,65
Connecticut,59
Delaware,59
District of Columbia,58
Florida,66
Georgia,81
Hawaii,61
Idaho,71
Illinois,71
Indiana,76
Iowa,73
Kansas,75
Kentucky,92
Louisiana,83
Maine,60
Maryland,60
Massachusetts,62
Michigan,75
Minnesota,62
Mississippi,98
Missouri,77
Montana,67
Nebraska,74
Nevada,69
New Hampshire,59
New Jersey,64
New Mexico,66
New York,63
North Carolina,74
North Dakota,64
Ohio,73
Oklahoma,85
Oregon,40
Pennsylvania,70
Rhode Island,66
South Carolina,73
South Dakota,67
Tennessee,79
Texas,73
Utah,67
Vermont,63
Virginia,62
Washington,59
West Virginia,100
Wisconsin,66
Wyoming,66
