geoName,improvement
Alabama,33
Alaska,26
Arizona,29
Arkansas,37
California,27
Colorado,31
Connecticut,46
Delaware,25
District of Columbia,52
Florida,32
Georgia,34
Hawaii,32
Idaho,23
Illinois,33
Indiana,38
Iowa,34
Kansas,44
Kentucky,34
Louisiana,35
Maine,33
Maryland,57
Massachusetts,38
Michigan,39
Minnesota,34
Mississippi,29
Missouri,38
Montana,37
Nebraska,39
Nevada,27
New Hampshire,39
New Jersey,41
New Mexico,40
New York,35
North Carolina,100
North Dakota,51
Ohio,39
Oklahoma,37
Oregon,41
Pennsylvania,39
Rhode Island,42
South Carolina,48
South Dakota,32
Tennessee,40
Texas,29
Utah,43
Vermont,29
Virginia,49
Washington,27
West Virginia,38
Wisconsin,38
Wyoming,31
