geoName,inability
Alabama,83
Alaska,54
Arizona,63
Arkansas,69
California,53
Colorado,55
Connecticut,57
Delaware,100
District of Columbia,65
Florida,65
Georgia,60
Hawaii,55
Idaho,79
Illinois,55
Indiana,91
Iowa,35
Kansas,65
Kentucky,65
Louisiana,61
Maine,89
Maryland,62
Massachusetts,59
Michigan,55
Minnesota,69
Mississippi,99
Missouri,68
Montana,84
Nebraska,36
Nevada,46
New Hampshire,85
New Jersey,60
New Mexico,70
New York,57
North Carolina,63
North Dakota,75
Ohio,81
Oklahoma,52
Oregon,48
Pennsylvania,70
Rhode Island,73
South Carolina,58
South Dakota,77
Tennessee,61
Texas,55
Utah,63
Vermont,82
Virginia,43
Washington,60
West Virginia,70
Wisconsin,76
Wyoming,97
