geoName,inactivity
Alabama,49
Alaska,0
Arizona,49
Arkansas,60
California,55
Colorado,61
Connecticut,82
Delaware,0
District of Columbia,38
Florida,45
Georgia,53
Hawaii,53
Idaho,41
Illinois,52
Indiana,49
Iowa,55
Kansas,56
Kentucky,41
Louisiana,27
Maine,64
Maryland,78
Massachusetts,51
Michigan,45
Minnesota,45
Mississippi,47
Missouri,59
Montana,0
Nebraska,42
Nevada,29
New Hampshire,67
New Jersey,67
New Mexico,66
New York,52
North Carolina,53
North Dakota,0
Ohio,53
Oklahoma,49
Oregon,34
Pennsylvania,71
Rhode Island,81
South Carolina,49
South Dakota,0
Tennessee,53
Texas,54
Utah,100
Vermont,0
Virginia,36
Washington,54
West Virginia,100
Wisconsin,58
Wyoming,0
