date,inconsolable,isPartial
2013-01-06,26,False
2013-01-13,26,False
2013-01-20,26,False
2013-01-27,18,False
2013-02-03,23,False
2013-02-10,27,False
2013-02-17,13,False
2013-02-24,27,False
2013-03-03,25,False
2013-03-10,27,False
2013-03-17,24,False
2013-03-24,24,False
2013-03-31,16,False
2013-04-07,33,False
2013-04-14,30,False
2013-04-21,27,False
2013-04-28,20,False
2013-05-05,25,False
2013-05-12,23,False
2013-05-19,33,False
2013-05-26,23,False
2013-06-02,30,False
2013-06-09,23,False
2013-06-16,27,False
2013-06-23,29,False
2013-06-30,32,False
2013-07-07,22,False
2013-07-14,100,False
2013-07-21,41,False
2013-07-28,30,False
2013-08-04,24,False
2013-08-11,18,False
2013-08-18,31,False
2013-08-25,25,False
2013-09-01,26,False
2013-09-08,39,False
2013-09-15,41,False
2013-09-22,38,False
2013-09-29,14,False
2013-10-06,20,False
2013-10-13,43,False
2013-10-20,34,False
2013-10-27,25,False
2013-11-03,34,False
2013-11-10,32,False
2013-11-17,24,False
2013-11-24,26,False
2013-12-01,56,False
2013-12-08,35,False
2013-12-15,38,False
2013-12-22,25,False
2013-12-29,24,False
