geoName,injured
Alabama,90
Alaska,72
Arizona,79
Arkansas,86
California,74
Colorado,81
Connecticut,78
Delaware,100
District of Columbia,78
Florida,81
Georgia,80
Hawaii,72
Idaho,84
Illinois,78
Indiana,91
Iowa,89
Kansas,65
Kentucky,78
Louisiana,71
Maine,90
Maryland,84
Massachusetts,89
Michigan,85
Minnesota,83
Mississippi,90
Missouri,78
Montana,88
Nebraska,85
Nevada,89
New Hampshire,97
New Jersey,78
New Mexico,66
New York,69
North Carolina,77
North Dakota,89
Ohio,83
Oklahoma,64
Oregon,64
Pennsylvania,82
Rhode Island,93
South Carolina,70
South Dakota,66
Tennessee,75
Texas,74
Utah,86
Vermont,96
Virginia,56
Washington,80
West Virginia,90
Wisconsin,91
Wyoming,84
