geoName,insecure
Alabama,64
Alaska,79
Arizona,66
Arkansas,91
California,81
Colorado,72
Connecticut,76
Delaware,74
District of Columbia,88
Florida,75
Georgia,84
Hawaii,82
Idaho,51
Illinois,69
Indiana,63
Iowa,57
Kansas,42
Kentucky,100
Louisiana,97
Maine,74
Maryland,81
Massachusetts,68
Michigan,81
Minnesota,84
Mississippi,58
Missouri,68
Montana,69
Nebraska,70
Nevada,94
New Hampshire,53
New Jersey,72
New Mexico,70
New York,84
North Carolina,71
North Dakota,56
Ohio,63
Oklahoma,72
Oregon,54
Pennsylvania,70
Rhode Island,65
South Carolina,91
South Dakota,33
Tennessee,65
Texas,81
Utah,71
Vermont,78
Virginia,60
Washington,72
West Virginia,63
Wisconsin,63
Wyoming,20
