geoName,insomnia
Alabama,62
Alaska,38
Arizona,49
Arkansas,43
California,42
Colorado,44
Connecticut,79
Delaware,100
District of Columbia,53
Florida,46
Georgia,48
Hawaii,45
Idaho,47
Illinois,61
Indiana,71
Iowa,63
Kansas,47
Kentucky,73
Louisiana,61
Maine,47
Maryland,57
Massachusetts,54
Michigan,70
Minnesota,55
Mississippi,94
Missouri,66
Montana,39
Nebraska,45
Nevada,42
New Hampshire,34
New Jersey,51
New Mexico,47
New York,67
North Carolina,51
North Dakota,40
Ohio,72
Oklahoma,46
Oregon,43
Pennsylvania,75
Rhode Island,42
South Carolina,50
South Dakota,47
Tennessee,54
Texas,41
Utah,38
Vermont,34
Virginia,42
Washington,41
West Virginia,87
Wisconsin,47
Wyoming,28
