geoName,interested
Alabama,81
Alaska,84
Arizona,68
Arkansas,85
California,75
Colorado,57
Connecticut,67
Delaware,100
District of Columbia,75
Florida,73
Georgia,78
Hawaii,87
Idaho,65
Illinois,66
Indiana,77
Iowa,72
Kansas,71
Kentucky,67
Louisiana,63
Maine,55
Maryland,90
Massachusetts,70
Michigan,77
Minnesota,64
Mississippi,85
Missouri,62
Montana,50
Nebraska,64
Nevada,72
New Hampshire,67
New Jersey,70
New Mexico,78
New York,78
North Carolina,72
North Dakota,41
Ohio,73
Oklahoma,60
Oregon,46
Pennsylvania,73
Rhode Island,73
South Carolina,67
South Dakota,69
Tennessee,75
Texas,71
Utah,62
Vermont,58
Virginia,74
Washington,65
West Virginia,87
Wisconsin,71
Wyoming,45
