geoName,irrational
Alabama,72
Alaska,60
Arizona,70
Arkansas,85
California,66
Colorado,51
Connecticut,55
Delaware,53
District of Columbia,39
Florida,71
Georgia,80
Hawaii,69
Idaho,72
Illinois,63
Indiana,98
Iowa,73
Kansas,62
Kentucky,66
Louisiana,72
Maine,77
Maryland,67
Massachusetts,59
Michigan,59
Minnesota,70
Mississippi,100
Missouri,56
Montana,38
Nebraska,57
Nevada,60
New Hampshire,66
New Jersey,66
New Mexico,61
New York,72
North Carolina,77
North Dakota,61
Ohio,64
Oklahoma,64
Oregon,55
Pennsylvania,70
Rhode Island,59
South Carolina,89
South Dakota,78
Tennessee,72
Texas,55
Utah,63
Vermont,52
Virginia,60
Washington,53
West Virginia,60
Wisconsin,60
Wyoming,87
