geoName,irritability
Alabama,49
Alaska,0
Arizona,41
Arkansas,44
California,39
Colorado,59
Connecticut,40
Delaware,0
District of Columbia,33
Florida,42
Georgia,58
Hawaii,34
Idaho,100
Illinois,46
Indiana,69
Iowa,51
Kansas,56
Kentucky,51
Louisiana,42
Maine,42
Maryland,44
Massachusetts,63
Michigan,55
Minnesota,33
Mississippi,84
Missouri,53
Montana,70
Nebraska,95
Nevada,54
New Hampshire,73
New Jersey,47
New Mexico,44
New York,43
North Carolina,51
North Dakota,34
Ohio,53
Oklahoma,49
Oregon,26
Pennsylvania,58
Rhode Island,65
South Carolina,70
South Dakota,18
Tennessee,60
Texas,41
Utah,50
Vermont,16
Virginia,53
Washington,40
West Virginia,67
Wisconsin,68
Wyoming,0
