date,irritability,isPartial
2012-01-01,57,False
2012-01-08,58,False
2012-01-15,59,False
2012-01-22,58,False
2012-01-29,89,False
2012-02-05,60,False
2012-02-12,78,False
2012-02-19,63,False
2012-02-26,60,False
2012-03-04,60,False
2012-03-11,59,False
2012-03-18,74,False
2012-03-25,57,False
2012-04-01,73,False
2012-04-08,66,False
2012-04-15,63,False
2012-04-22,54,False
2012-04-29,62,False
2012-05-06,80,False
2012-05-13,72,False
2012-05-20,77,False
2012-05-27,68,False
2012-06-03,53,False
2012-06-10,60,False
2012-06-17,67,False
2012-06-24,68,False
2012-07-01,75,False
2012-07-08,81,False
2012-07-15,100,False
2012-07-22,72,False
2012-07-29,67,False
2012-08-05,75,False
2012-08-12,85,False
2012-08-19,84,False
2012-08-26,75,False
2012-09-02,52,False
2012-09-09,63,False
2012-09-16,63,False
2012-09-23,91,False
2012-09-30,76,False
2012-10-07,82,False
2012-10-14,74,False
2012-10-21,53,False
2012-10-28,56,False
2012-11-04,81,False
2012-11-11,60,False
2012-11-18,52,False
2012-11-25,60,False
2012-12-02,71,False
2012-12-09,66,False
2012-12-16,49,False
2012-12-23,96,False
2012-12-30,77,False
