geoName,isolated
Alabama,53
Alaska,66
Arizona,55
Arkansas,53
California,64
Colorado,65
Connecticut,66
Delaware,50
District of Columbia,59
Florida,60
Georgia,56
Hawaii,100
Idaho,63
Illinois,59
Indiana,64
Iowa,63
Kansas,63
Kentucky,56
Louisiana,61
Maine,52
Maryland,68
Massachusetts,64
Michigan,59
Minnesota,62
Mississippi,53
Missouri,53
Montana,54
Nebraska,54
Nevada,47
New Hampshire,53
New Jersey,61
New Mexico,64
New York,62
North Carolina,61
North Dakota,97
Ohio,62
Oklahoma,59
Oregon,57
Pennsylvania,67
Rhode Island,67
South Carolina,50
South Dakota,60
Tennessee,58
Texas,60
Utah,63
Vermont,62
Virginia,65
Washington,64
West Virginia,41
Wisconsin,64
Wyoming,58
