date,isolated,isPartial
2014-01-05,54,False
2014-01-12,53,False
2014-01-19,58,False
2014-01-26,68,False
2014-02-02,65,False
2014-02-09,65,False
2014-02-16,66,False
2014-02-23,70,False
2014-03-02,74,False
2014-03-09,69,False
2014-03-16,72,False
2014-03-23,70,False
2014-03-30,61,False
2014-04-06,64,False
2014-04-13,69,False
2014-04-20,63,False
2014-04-27,71,False
2014-05-04,68,False
2014-05-11,60,False
2014-05-18,64,False
2014-05-25,59,False
2014-06-01,57,False
2014-06-08,57,False
2014-06-15,58,False
2014-06-22,63,False
2014-06-29,53,False
2014-07-06,52,False
2014-07-13,52,False
2014-07-20,55,False
2014-07-27,60,False
2014-08-03,47,False
2014-08-10,47,False
2014-08-17,49,False
2014-08-24,75,False
2014-08-31,68,False
2014-09-07,69,False
2014-09-14,64,False
2014-09-21,76,False
2014-09-28,78,False
2014-10-05,77,False
2014-10-12,81,False
2014-10-19,74,False
2014-10-26,67,False
2014-11-02,63,False
2014-11-09,68,False
2014-11-16,67,False
2014-11-23,45,False
2014-11-30,100,False
2014-12-07,83,False
2014-12-14,62,False
2014-12-21,42,False
2014-12-28,41,False
