geoName,isolation
Alabama,79
Alaska,88
Arizona,62
Arkansas,74
California,76
Colorado,65
Connecticut,90
Delaware,100
District of Columbia,40
Florida,60
Georgia,60
Hawaii,92
Idaho,85
Illinois,67
Indiana,81
Iowa,71
Kansas,71
Kentucky,59
Louisiana,79
Maine,77
Maryland,92
Massachusetts,93
Michigan,76
Minnesota,60
Mississippi,86
Missouri,78
Montana,68
Nebraska,87
Nevada,63
New Hampshire,71
New Jersey,79
New Mexico,88
New York,68
North Carolina,72
North Dakota,88
Ohio,79
Oklahoma,76
Oregon,75
Pennsylvania,76
Rhode Island,93
South Carolina,63
South Dakota,74
Tennessee,81
Texas,66
Utah,59
Vermont,62
Virginia,74
Washington,79
West Virginia,63
Wisconsin,78
Wyoming,79
