geoName,kill
Alabama,92
Alaska,90
Arizona,86
Arkansas,100
California,80
Colorado,79
Connecticut,75
Delaware,84
District of Columbia,65
Florida,81
Georgia,83
Hawaii,86
Idaho,94
Illinois,78
Indiana,97
Iowa,91
Kansas,87
Kentucky,92
Louisiana,91
Maine,82
Maryland,81
Massachusetts,79
Michigan,85
Minnesota,76
Mississippi,92
Missouri,86
Montana,88
Nebraska,83
Nevada,90
New Hampshire,83
New Jersey,82
New Mexico,91
New York,77
North Carolina,96
North Dakota,87
Ohio,88
Oklahoma,93
Oregon,56
Pennsylvania,84
Rhode Island,79
South Carolina,90
South Dakota,86
Tennessee,88
Texas,82
Utah,85
Vermont,76
Virginia,71
Washington,86
West Virginia,98
Wisconsin,82
Wyoming,83
