geoName,level
Alabama,93
Alaska,92
Arizona,79
Arkansas,100
California,70
Colorado,83
Connecticut,81
Delaware,90
District of Columbia,64
Florida,76
Georgia,80
Hawaii,71
Idaho,89
Illinois,75
Indiana,94
Iowa,91
Kansas,80
Kentucky,97
Louisiana,90
Maine,84
Maryland,86
Massachusetts,78
Michigan,82
Minnesota,81
Mississippi,94
Missouri,94
Montana,81
Nebraska,81
Nevada,74
New Hampshire,85
New Jersey,82
New Mexico,82
New York,71
North Carolina,89
North Dakota,88
Ohio,91
Oklahoma,95
Oregon,65
Pennsylvania,87
Rhode Island,85
South Carolina,86
South Dakota,95
Tennessee,87
Texas,85
Utah,89
Vermont,80
Virginia,59
Washington,79
West Virginia,96
Wisconsin,83
Wyoming,94
