geoName,lonely
Alabama,70
Alaska,93
Arizona,71
Arkansas,72
California,83
Colorado,84
Connecticut,73
Delaware,80
District of Columbia,88
Florida,68
Georgia,69
Hawaii,100
Idaho,77
Illinois,76
Indiana,74
Iowa,64
Kansas,67
Kentucky,74
Louisiana,78
Maine,88
Maryland,71
Massachusetts,81
Michigan,75
Minnesota,74
Mississippi,77
Missouri,76
Montana,81
Nebraska,79
Nevada,73
New Hampshire,76
New Jersey,69
New Mexico,90
New York,81
North Carolina,69
North Dakota,77
Ohio,72
Oklahoma,75
Oregon,67
Pennsylvania,73
Rhode Island,81
South Carolina,73
South Dakota,60
Tennessee,74
Texas,76
Utah,72
Vermont,80
Virginia,76
Washington,88
West Virginia,74
Wisconsin,72
Wyoming,80
