geoName,low sex drive
Alabama,44
Alaska,0
Arizona,42
Arkansas,92
California,56
Colorado,55
Connecticut,38
Delaware,0
District of Columbia,45
Florida,43
Georgia,51
Hawaii,0
Idaho,0
Illinois,59
Indiana,100
Iowa,36
Kansas,45
Kentucky,29
Louisiana,50
Maine,0
Maryland,41
Massachusetts,58
Michigan,46
Minnesota,47
Mississippi,86
Missouri,49
Montana,0
Nebraska,0
Nevada,64
New Hampshire,0
New Jersey,51
New Mexico,0
New York,44
North Carolina,65
North Dakota,0
Ohio,50
Oklahoma,93
Oregon,57
Pennsylvania,46
Rhode Island,0
South Carolina,61
South Dakota,0
Tennessee,57
Texas,55
Utah,78
Vermont,0
Virginia,70
Washington,44
West Virginia,0
Wisconsin,51
Wyoming,0
