geoName,low
Alabama,81
Alaska,74
Arizona,100
Arkansas,78
California,69
Colorado,69
Connecticut,70
Delaware,71
District of Columbia,68
Florida,70
Georgia,77
Hawaii,66
Idaho,69
Illinois,68
Indiana,79
Iowa,70
Kansas,68
Kentucky,81
Louisiana,76
Maine,79
Maryland,71
Massachusetts,70
Michigan,71
Minnesota,70
Mississippi,83
Missouri,75
Montana,72
Nebraska,68
Nevada,68
New Hampshire,79
New Jersey,68
New Mexico,79
New York,69
North Carolina,75
North Dakota,73
Ohio,75
Oklahoma,75
Oregon,74
Pennsylvania,71
Rhode Island,69
South Carolina,89
South Dakota,72
Tennessee,80
Texas,69
Utah,71
Vermont,70
Virginia,73
Washington,76
West Virginia,87
Wisconsin,72
Wyoming,73
