geoName,media
Alabama,51
Alaska,44
Arizona,49
Arkansas,48
California,56
Colorado,54
Connecticut,58
Delaware,68
District of Columbia,56
Florida,48
Georgia,44
Hawaii,46
Idaho,51
Illinois,48
Indiana,51
Iowa,49
Kansas,49
Kentucky,44
Louisiana,45
Maine,51
Maryland,58
Massachusetts,56
Michigan,47
Minnesota,54
Mississippi,42
Missouri,48
Montana,49
Nebraska,45
Nevada,46
New Hampshire,55
New Jersey,57
New Mexico,42
New York,63
North Carolina,47
North Dakota,41
Ohio,50
Oklahoma,41
Oregon,44
Pennsylvania,72
Rhode Island,54
South Carolina,43
South Dakota,48
Tennessee,47
Texas,44
Utah,54
Vermont,60
Virginia,44
Washington,51
West Virginia,44
Wisconsin,47
Wyoming,100
