geoName,medication
Alabama,81
Alaska,66
Arizona,74
Arkansas,88
California,62
Colorado,67
Connecticut,69
Delaware,62
District of Columbia,63
Florida,77
Georgia,68
Hawaii,61
Idaho,79
Illinois,63
Indiana,78
Iowa,76
Kansas,75
Kentucky,94
Louisiana,85
Maine,81
Maryland,72
Massachusetts,68
Michigan,73
Minnesota,70
Mississippi,85
Missouri,72
Montana,95
Nebraska,91
Nevada,70
New Hampshire,76
New Jersey,63
New Mexico,78
New York,65
North Carolina,75
North Dakota,94
Ohio,78
Oklahoma,85
Oregon,73
Pennsylvania,79
Rhode Island,73
South Carolina,79
South Dakota,85
Tennessee,90
Texas,67
Utah,71
Vermont,60
Virginia,69
Washington,64
West Virginia,100
Wisconsin,79
Wyoming,74
