date,medication,isPartial
2016-01-03,88,False
2016-01-10,87,False
2016-01-17,91,False
2016-01-24,96,False
2016-01-31,97,False
2016-02-07,94,False
2016-02-14,93,False
2016-02-21,97,False
2016-02-28,94,False
2016-03-06,96,False
2016-03-13,93,False
2016-03-20,97,False
2016-03-27,95,False
2016-04-03,100,False
2016-04-10,94,False
2016-04-17,95,False
2016-04-24,95,False
2016-05-01,91,False
2016-05-08,93,False
2016-05-15,98,False
2016-05-22,91,False
2016-05-29,87,False
2016-06-05,87,False
2016-06-12,87,False
2016-06-19,88,False
2016-06-26,89,False
2016-07-03,86,False
2016-07-10,90,False
2016-07-17,88,False
2016-07-24,91,False
2016-07-31,92,False
2016-08-07,86,False
2016-08-14,89,False
2016-08-21,92,False
2016-08-28,89,False
2016-09-04,95,False
2016-09-11,95,False
2016-09-18,98,False
2016-09-25,96,False
2016-10-02,95,False
2016-10-09,94,False
2016-10-16,94,False
2016-10-23,97,False
2016-10-30,93,False
2016-11-06,86,False
2016-11-13,94,False
2016-11-20,77,False
2016-11-27,91,False
2016-12-04,90,False
2016-12-11,88,False
2016-12-18,84,False
2016-12-25,81,False
