geoName,melancholia
Alabama,39
Alaska,23
Arizona,84
Arkansas,46
California,64
Colorado,58
Connecticut,76
Delaware,47
District of Columbia,65
Florida,64
Georgia,42
Hawaii,78
Idaho,84
Illinois,66
Indiana,72
Iowa,75
Kansas,42
Kentucky,47
Louisiana,58
Maine,78
Maryland,70
Massachusetts,62
Michigan,55
Minnesota,55
Mississippi,33
Missouri,64
Montana,59
Nebraska,63
Nevada,45
New Hampshire,82
New Jersey,60
New Mexico,83
New York,81
North Carolina,53
North Dakota,51
Ohio,34
Oklahoma,49
Oregon,42
Pennsylvania,65
Rhode Island,97
South Carolina,42
South Dakota,51
Tennessee,61
Texas,55
Utah,23
Vermont,100
Virginia,49
Washington,77
West Virginia,71
Wisconsin,60
Wyoming,0
