geoName,melancholy
Alabama,70
Alaska,79
Arizona,77
Arkansas,80
California,83
Colorado,58
Connecticut,64
Delaware,57
District of Columbia,58
Florida,69
Georgia,67
Hawaii,86
Idaho,100
Illinois,68
Indiana,78
Iowa,70
Kansas,76
Kentucky,62
Louisiana,69
Maine,83
Maryland,70
Massachusetts,66
Michigan,68
Minnesota,68
Mississippi,83
Missouri,75
Montana,38
Nebraska,51
Nevada,62
New Hampshire,61
New Jersey,68
New Mexico,97
New York,68
North Carolina,65
North Dakota,45
Ohio,66
Oklahoma,74
Oregon,49
Pennsylvania,71
Rhode Island,59
South Carolina,62
South Dakota,64
Tennessee,68
Texas,78
Utah,86
Vermont,79
Virginia,51
Washington,65
West Virginia,54
Wisconsin,76
Wyoming,43
