geoName,mental health
Alabama,60
Alaska,66
Arizona,35
Arkansas,45
California,41
Colorado,66
Connecticut,52
Delaware,43
District of Columbia,64
Florida,41
Georgia,36
Hawaii,35
Idaho,58
Illinois,39
Indiana,45
Iowa,59
Kansas,66
Kentucky,40
Louisiana,43
Maine,73
Maryland,56
Massachusetts,59
Michigan,52
Minnesota,71
Mississippi,57
Missouri,46
Montana,86
Nebraska,48
Nevada,38
New Hampshire,76
New Jersey,37
New Mexico,51
New York,47
North Carolina,49
North Dakota,47
Ohio,46
Oklahoma,50
Oregon,35
Pennsylvania,48
Rhode Island,55
South Carolina,55
South Dakota,43
Tennessee,54
Texas,28
Utah,57
Vermont,100
Virginia,47
Washington,55
West Virginia,39
Wisconsin,58
Wyoming,49
