geoName,mental
Alabama,82
Alaska,85
Arizona,59
Arkansas,73
California,63
Colorado,80
Connecticut,74
Delaware,78
District of Columbia,71
Florida,62
Georgia,61
Hawaii,53
Idaho,83
Illinois,63
Indiana,77
Iowa,84
Kansas,77
Kentucky,63
Louisiana,66
Maine,95
Maryland,81
Massachusetts,82
Michigan,78
Minnesota,95
Mississippi,82
Missouri,71
Montana,94
Nebraska,70
Nevada,66
New Hampshire,100
New Jersey,60
New Mexico,73
New York,72
North Carolina,72
North Dakota,74
Ohio,73
Oklahoma,69
Oregon,55
Pennsylvania,72
Rhode Island,81
South Carolina,72
South Dakota,72
Tennessee,78
Texas,52
Utah,79
Vermont,97
Virginia,58
Washington,75
West Virginia,80
Wisconsin,76
Wyoming,79
