geoName,miserable
Alabama,71
Alaska,47
Arizona,55
Arkansas,83
California,64
Colorado,57
Connecticut,57
Delaware,80
District of Columbia,61
Florida,58
Georgia,62
Hawaii,82
Idaho,86
Illinois,66
Indiana,56
Iowa,67
Kansas,64
Kentucky,68
Louisiana,72
Maine,64
Maryland,63
Massachusetts,67
Michigan,73
Minnesota,53
Mississippi,69
Missouri,66
Montana,56
Nebraska,52
Nevada,59
New Hampshire,63
New Jersey,90
New Mexico,49
New York,76
North Carolina,57
North Dakota,50
Ohio,85
Oklahoma,77
Oregon,33
Pennsylvania,72
Rhode Island,95
South Carolina,79
South Dakota,51
Tennessee,64
Texas,61
Utah,86
Vermont,49
Virginia,54
Washington,54
West Virginia,100
Wisconsin,56
Wyoming,17
