geoName,misunderstanding
Alabama,55
Alaska,0
Arizona,50
Arkansas,29
California,69
Colorado,41
Connecticut,66
Delaware,0
District of Columbia,65
Florida,46
Georgia,61
Hawaii,77
Idaho,59
Illinois,44
Indiana,56
Iowa,43
Kansas,47
Kentucky,51
Louisiana,49
Maine,61
Maryland,57
Massachusetts,55
Michigan,48
Minnesota,46
Mississippi,52
Missouri,43
Montana,33
Nebraska,40
Nevada,35
New Hampshire,46
New Jersey,69
New Mexico,64
New York,55
North Carolina,61
North Dakota,0
Ohio,53
Oklahoma,37
Oregon,45
Pennsylvania,47
Rhode Island,100
South Carolina,45
South Dakota,0
Tennessee,48
Texas,55
Utah,41
Vermont,0
Virginia,54
Washington,55
West Virginia,11
Wisconsin,56
Wyoming,0
