geoName,monitor
Alabama,40
Alaska,52
Arizona,46
Arkansas,39
California,50
Colorado,51
Connecticut,42
Delaware,42
District of Columbia,36
Florida,40
Georgia,37
Hawaii,42
Idaho,50
Illinois,44
Indiana,42
Iowa,44
Kansas,48
Kentucky,44
Louisiana,37
Maine,46
Maryland,47
Massachusetts,49
Michigan,42
Minnesota,47
Mississippi,34
Missouri,45
Montana,46
Nebraska,46
Nevada,42
New Hampshire,100
New Jersey,41
New Mexico,47
New York,46
North Carolina,41
North Dakota,48
Ohio,43
Oklahoma,44
Oregon,62
Pennsylvania,41
Rhode Island,41
South Carolina,37
South Dakota,49
Tennessee,40
Texas,47
Utah,52
Vermont,47
Virginia,51
Washington,54
West Virginia,40
Wisconsin,45
Wyoming,42
