geoName,morbid
Alabama,59
Alaska,62
Arizona,49
Arkansas,68
California,65
Colorado,53
Connecticut,42
Delaware,37
District of Columbia,43
Florida,48
Georgia,49
Hawaii,37
Idaho,58
Illinois,50
Indiana,57
Iowa,43
Kansas,59
Kentucky,58
Louisiana,67
Maine,75
Maryland,60
Massachusetts,49
Michigan,58
Minnesota,52
Mississippi,56
Missouri,59
Montana,43
Nebraska,49
Nevada,50
New Hampshire,100
New Jersey,58
New Mexico,76
New York,57
North Carolina,59
North Dakota,58
Ohio,65
Oklahoma,56
Oregon,40
Pennsylvania,69
Rhode Island,29
South Carolina,65
South Dakota,54
Tennessee,63
Texas,55
Utah,42
Vermont,37
Virginia,52
Washington,68
West Virginia,63
Wisconsin,64
Wyoming,53
