geoName,need
Alabama,94
Alaska,77
Arizona,85
Arkansas,92
California,82
Colorado,82
Connecticut,86
Delaware,93
District of Columbia,71
Florida,87
Georgia,88
Hawaii,88
Idaho,86
Illinois,81
Indiana,90
Iowa,87
Kansas,88
Kentucky,93
Louisiana,89
Maine,83
Maryland,85
Massachusetts,79
Michigan,91
Minnesota,81
Mississippi,95
Missouri,90
Montana,79
Nebraska,89
Nevada,86
New Hampshire,90
New Jersey,92
New Mexico,80
New York,85
North Carolina,88
North Dakota,93
Ohio,86
Oklahoma,88
Oregon,76
Pennsylvania,89
Rhode Island,87
South Carolina,90
South Dakota,90
Tennessee,91
Texas,86
Utah,90
Vermont,82
Virginia,88
Washington,79
West Virginia,100
Wisconsin,86
Wyoming,82
